variant,jur,analytic_candidate_mass,analytic_contributions,documents,privacy_family_share,privacy_posture,state_privacy_raw,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,score_cash_substitution,score_financial_inclusion,score_sovereignty_competition,score_payment_modernization,score_monetary_transmission,score_state_control,state_privacy_score,score_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite
claude,AW,63,74,1,0.280104712042,0.0350529100529,0.375,0.14951330305,0.172096041531,0.0863075924724,0.475016223232,0.477871512005,0.0311486048021,0.429123926828,0.691840300656,0.685389741714,0.95,0.95,0.163515426818,0.595669291339,0.582111551253,payment_modernization,0.95,0.95,True,ABW,Aruba,financial_inclusion,False
claude,BO,38,39,1,0.666666666667,-0.0526315789474,-0.333333333333,0.0901098901099,0.043956043956,0.0615384615385,0.445054945055,0.186813186813,0.41978021978,0.225890135899,0.378244728245,0.590315593929,0.888111974155,0.620154407694,0.95,0.247829337367,0.441978021978,state_control,0.95,0.888111974155,True,BOL,Bolivia,financial_inclusion,False
claude,BR,27,27,1,0.142857142857,0.111111111111,1,0.0275229357798,0,0.0871559633028,0.335779816514,0.0110091743119,0.355963302752,0.164208715596,0.05,0.68864613912,0.569552767417,0.0503940467019,0.95,0.95,0.169724770642,state_control,0.95,0.68864613912,False,BRA,Brazil,monetary_transmission,False
claude,BS,73,73,1,0.171428571429,-0.130136986301,-0.655172413793,0.0536842105263,0.154385964912,0.0252631578947,0.251578947368,0.222456140351,0.308771929825,0.117187946547,0.661460789822,0.349097744361,0.394848497018,0.667912887079,0.95,0.0974199952566,0.283526315789,state_control,0.95,0.667912887079,False,BHS,Bahamas,financial_inclusion,False
claude,CA,175,176,7,0.387931034483,0.159285714286,0.538461538462,0.0811594202899,0.0184453227931,0.0537549407115,0.29696969697,0.0160737812912,0.113043478261,0.321395438206,0.187741694263,0.560439228409,0.473945758665,0.0768314928899,0.461966403162,0.688340399758,0.403043478261,sovereignty_competition,0.560439228409,0.473945758665,True,CAN,Canada,sovereignty_competition,False
claude,CN,90,91,4,0.333333333333,0.1,0.444444444444,0.110273972603,0.108219178082,0.0785388127854,0.342465753425,0.0296803652968,0.0365296803653,0.390668409086,0.582267208064,0.655569958774,0.589043632237,0.147858392692,0.183125778331,0.635039370079,0.512166899315,sovereignty_competition,0.655569958774,0.589043632237,True,CHN,China,state_control,False
claude,CO,1,1,1,,0,0,0,0,0,0,2.8,0,0.0306173393551,0.05,0.05,0.05,0.95,0.05,0.403610441696,0.05,monetary_transmission,0.95,0.05,False,COL,Colombia,monetary_transmission,False
claude,CZ,3,3,1,0,0,0,0,0,0.166666666667,0.433333333333,0.266666666667,0.333333333333,0.0306173393551,0.05,0.95,0.853941093905,0.727151174035,0.95,0.403610441696,0.05,sovereignty_competition,0.95,0.95,True,CZE,Czech Republic,sovereignty_competition,False
claude,DK,3,3,1,,0,0,0,0,0.3,0.44,0,0,0.0306173393551,0.05,0.95,0.873375782047,0.05,0.05,0.403610441696,0.05,sovereignty_competition,0.95,0.873375782047,True,DNK,Denmark,cash_substitution,False
claude,ECCU,7,7,2,,0,0,0,0.2,0,0.35,0,0.285714285714,0.0306173393551,0.739706192308,0.05,0.611007492124,0.05,0.948007401084,0.403610441696,0.05,state_control,0.948007401084,0.739706192308,False,ECCU,Eastern Caribbean (OECS / ECCU),financial_inclusion,False
