jur,n_segs,n_docs,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,fz_cash_substitution,fz_financial_inclusion,fz_sovereignty_competition,fz_payment_modernization,fz_monetary_transmission,fz_state_control,state_privacy_raw,state_privacy_fz,fz_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite,vocab,net_privacy_posture
IT,226,1,0.17869634340222576,0.04054054054054054,0.10985691573926867,0.3120826709062003,0.1634340222575517,0.17281399046104928,0.48341869047216096,0.27778415883359514,0.6139289642557414,0.4309327565589009,0.504006917858977,0.4547343945168552,0.17452830188679244,0.8142331506825584,0.5498070394106778,sovereignty_competition,0.6139289642557414,0.504006917858977,False,ITA,Italy,sovereignty_competition,False,0.3090909090909091,0.047289823008849555
JP,99,4,0.05044642857142857,0.016964285714285713,0.0625,0.22544642857142858,0.2955357142857143,0.09464285714285714,0.17019911883055497,0.1453168236071532,0.444547907705376,0.1273750198441771,0.7115555987736196,0.18934687870692046,0.06521739130434782,0.7455785605131424,0.20392260211339158,monetary_transmission,0.7115555987736196,0.444547907705376,False,JPN,Japan,sovereignty_competition,False,0.24242424242424243,0.020202020202020204
MG,14,2,0.6433333333333333,0.38333333333333336,0.6,0.24333333333333332,0.02,0.12666666666666665,0.7352821175330306,0.8977521964427233,0.95,0.19004750170661344,0.10594103841561328,0.2980662856739485,-0.08333333333333333,0.6522787328470133,0.95,sovereignty_competition,0.95,0.8977521964427233,True,MDG,Madagascar,financial_inclusion,False,0.8,-0.026785714285714284
MO,91,1,0.2996336996336996,0.1413919413919414,0.07216117216117215,0.4542124542124542,0.06007326007326007,0.19047619047619047,0.557527467181466,0.5804072679441139,0.5025904722458628,0.7825958408599656,0.21802802747546846,0.5031360196245139,-0.140625,0.6162957200428506,0.742783436586039,payment_modernization,0.7825958408599656,0.5804072679441139,False,MAC,Macau,monetary_transmission,False,0.24242424242424243,-0.0027472527472527475
NA,8,1,0.0,0.13333333333333333,0.03333333333333333,0.3,0.0,0.7466666666666666,0.019125,0.5698371113552124,0.26042555077620055,0.38859726121756005,0.05,0.906051820982062,-1.0,0.05,0.05,state_control,0.906051820982062,0.5698371113552124,False,NAM,Namibia,,False,0.0,-0.390625
NO,567,6,0.20982211910286158,0.04068058778035576,0.07208043310131476,0.28329466357308586,0.2779582366589327,0.14787316318638824,0.4018491116907713,0.27857103888731266,0.5023520006223441,0.33006478127438493,0.6839391296789815,0.370061396803944,-0.33653846153846156,0.49282561700594485,0.5994735795200927,monetary_transmission,0.6839391296789815,0.5023520006223441,False,NOR,Norway,cash_substitution,False,0.2088235294117647,-0.05544532627865961
NZ,138,2,0.2572033898305085,0.18135593220338983,0.04915254237288135,0.3372881355932203,0.2194915254237288,0.11440677966101695,0.5882936683504998,0.6328264497336044,0.36028852402592276,0.5126814380247605,0.5920804365163163,0.25644451535502333,0.1554054054054054,0.802222687922836,0.6750785638155252,financial_inclusion,0.6328264497336044,0.5920804365163163,True,NZL,New Zealand,cash_substitution,False,0.43859649122807015,0.036231884057971016
PE,60,1,0.3930769230769231,0.4446153846153846,0.023076923076923078,0.2723076923076923,0.20538461538461542,0.1176923076923077,0.5539628349503559,0.95,0.19567922746044653,0.2915684194656043,0.5699166736950548,0.26759873668118683,-0.45,0.417096018735363,0.891888205885044,financial_inclusion,0.95,0.5699166736950548,False,PER,Peru,monetary_transmission,False,0.2962962962962963,-0.06041666666666667
PH,3,1,0.0,0.5,0.0,0.675,0.0,0.15,0.04040007396827017,0.95,0.05,0.95,0.05,0.37728191305512887,0.0,0.7046176605621589,0.05,financial_inclusion,0.95,0.95,True,PHL,Philippines,monetary_transmission,False,0.0,0.0
PW,27,1,0.1310344827586207,0.16896551724137931,0.45977011494252873,0.36091954022988504,0.20574712643678164,0.041379310344827586,0.2750482038001823,0.6165744338274554,0.95,0.5672334469309147,0.5704862249970779,0.05,-0.4722222222222222,0.402263856362217,0.4498136067101584,sovereignty_competition,0.95,0.6165744338274554,False,PLW,Republic of Palau,financial_inclusion,False,0.2,-0.013888888888888888
